Year,Team,Totals,TD,YDS,AVG,LG,NO,FC,BL,TB,I20,RYDS,NYDS,NET,G20+,G40+,FUM,OOB,DN,OB,RET,RETY,OSA,OSR
1932,lkc,Team Totals,,,,75,,,,,,,,,,,,,,,,,,
1932,lkc,Opponents Totals,,,,77,,,,,,,,,,,,,,,,,,
1932,har,Team Totals,0,,,,,,,,,,,,,,,,,,,,,
1932,har,Opponents Totals,0,,,,,,,,,,,,,,,,,,,,,
1933,lkc,Team Totals,0,502,,,,,,,,,,,,,,,,,,,,
1933,lkc,Opponents Totals,0,,,,,,,,,,,,,,,,,,,,,
1933,min,Team Totals,0,,,,,,,,,,,,,,,,,,,,,
1933,min,Opponents Totals,0,,,,,,,,,,,,,,,,,,,,,
1933,bal,Team Totals,0,,,,,,,,,,,,,,,,,,,,,
1933,bal,Opponents Totals,2,,,,,,,,,,,,,,,,,,,,,
1934,lkc,Team Totals,,,,,,,,,,,,,,,,,,,,,,
1934,lkc,Opponents Totals,,,,,,,,,,,,,,,,,,,,,,
1934,har,Team Totals,,,,,113,,,,,,,,,,,,,,,,,
1934,har,Opponents Totals,,,,,,,,,,,,,,,,,,,,,,
1934,llarm,Team Totals,,,,,113,,,,,,,,,,,,,,,,,
1934,llarm,Opponents Totals,,,,,,,,,,,,,,,,,,,,,,
1934,min,Team Totals,,,,,,,,,,,,,,,,,,,,,,
1934,min,Opponents Totals,,,,,,,,,,,,,,,,,,,,,,
1934,larm,Team Totals,,,,,,,,,,,,,,,,,,,,,,
1934,larm,Opponents Totals,,,,,,,,,,,,,,,,,,,,,,
1934,lten,Team Totals,,,,,,,,,,,,,,,,,,,,,,
1934,lten,Opponents Totals,,,,,,,,,,438,,,,,,,,,,,,
1934,dul,Team Totals,,,,,,,,,,,,,,,,,,,,,,
1934,dul,Opponents Totals,,,,,,,,,,,,,,,,,,,,,,
1934,ham,Team Totals,0,,,,,,,,,,,,,,,,,,,,,
1934,ham,Opponents Totals,1,,,,,,,,,,,,,,,,,,,,,
1934,jac,Team Totals,0,,,,,,,,,,,,,,,,,,,,,
1934,jac,Opponents Totals,0,,,,,,,,,,,,,,,,,,,,,
1935,lkc,Team Totals,,,,,,,,,,,,,,,,,,,,,,
1935,lkc,Opponents Totals,,,,,,,,,,421,,,,,,,,,,,,
1935,har,Team Totals,,,,,,,,,,,,,,,,,,,,,,
1935,har,Opponents Totals,,,,,,,,,,382,,,,,,,,,,,,
1935,llarm,Team Totals,,,,,,,,,,,,,,,,,,,,,,
1935,llarm,Opponents Totals,,,,,,,,,,384,,,,,,,,,,,,
1935,min,Team Totals,,,,,112,,,,,,,,,,,,,,,,,
1935,min,Opponents Totals,,,,,,,,,,417,,,,,,,,,,,,
1935,larm,Team Totals,,,,,,,,,,,,,,,,,,,,,,
1935,larm,Opponents Totals,,,,,,,,,,296,,,,,,,,,,,,
1935,bal,Team Totals,,,,,,,,,,,,,,,,,,,,,,
1935,bal,Opponents Totals,,,,,,,,,,552,,,,,,,,,,,,
1935,lten,Team Totals,,,,,,,,,,,,,,,,,,,,,,
1935,lten,Opponents Totals,,,,,,,,,,239,,,,,,,,,,,,
1935,dul,Team Totals,,,,,,,,,,,,,,,,,,,,,,
1935,dul,Opponents Totals,,,,,,,,,,572,,,,,,,,,,,,
1935,atl,Team Totals,,,,,,,,,,,,,,,,,,,,,,
1935,atl,Opponents Totals,,,,,,,,,,572,,,,,,,,,,,,
1936,lkc,Team Totals,,,,,,,,,,,,,,,,,,,,,,
1936,lkc,Opponents Totals,,,,,,,,,,366,,,,,,,,,,,,
1936,har,Team Totals,,,,,,,,,,,,,,,,,,,,,,
1936,har,Opponents Totals,,,,,,,,,,415,,,,,,,,,,,,
1936,llarm,Team Totals,,,,,,,,,,,,,,,,,,,,,,
1936,llarm,Opponents Totals,,,,,,,,,,414,,,,,,,,,,,,
1936,min,Team Totals,,,,,,,,,,,,,,,,,,,,,,
1936,min,Opponents Totals,,,,,,,,,,390,,,,,,,,,,,,
1936,larm,Team Totals,,,,,,,,,,,,,,,,,,,,,,
1936,larm,Opponents Totals,,,,,,,,,,312,,,,,,,,,,,,
1936,bal,Team Totals,,,,,,,,,,,,,,,,,,,,,,
1936,bal,Opponents Totals,,,,,,,,,,404,,,,,,,,,,,,
1936,lten,Team Totals,,,,,,,,,,,,,,,,,,,,,,
1936,lten,Opponents Totals,,,,,,,,,,596,,,,,,,,,,,,
1936,dul,Team Totals,,,,,,,,,,,,,,,,,,,,,,
1936,dul,Opponents Totals,,,,,,,,,,585,,,,,,,,,,,,
1936,atl,Team Totals,,,,,,,,,,,,,,,,,,,,,,
1936,atl,Opponents Totals,,,,,,,,,,712,,,,,,,,,,,,
1937,lkc,Team Totals,,,,,,,,,,,,,,,,,,,,,,
1937,lkc,Opponents Totals,,,,,,,,,,427,,,,,,,,,,,,
1937,har,Team Totals,,,,,,,,,,,,,,,,,,,,,,
1937,har,Opponents Totals,,,,,,,,,,539,,,,,,,,,,,,
1937,llarm,Team Totals,,,,,,,,,,,,,,,,,,,,,,
1937,llarm,Opponents Totals,,,,,,,,,,544,,,,,,,,,,,,
1937,min,Team Totals,,,,,,,,,,,,,,,,,,,,,,
1937,min,Opponents Totals,,,,,,,,,,442,,,,,,,,,,,,
1937,larm,Team Totals,,,,,,,,,,,,,,,,,,,,,,
1937,larm,Opponents Totals,,,,,,,,,,594,,,,,,,,,,,,
1937,bal,Team Totals,,,,,,,,,,,,,,,,,,,,,,
1937,bal,Opponents Totals,,,,,,,,,,263,,,,,,,,,,,,
1937,lten,Team Totals,,,,,,,,,,,,,,,,,,,,,,
1937,lten,Opponents Totals,,,,,,,,,,455,,,,,,,,,,,,
1937,dul,Team Totals,,,,,,,,,,,,,,,,,,,,,,
1937,dul,Opponents Totals,,,,,,,,,,455,,,,,,,,,,,,
1937,atl,Team Totals,,,,,,,,,,,,,,,,,,,,,,
1937,atl,Opponents Totals,,,,,,,,,,401,,,,,,,,,,,,
1937,ham,Team Totals,,,,,,,,,,,,,,,,,,,,,,
1937,ham,Opponents Totals,,,,,,,,,,427,,,,,,,,,,,,
1938,lkc,Team Totals,,,,,,,,,,,,,,,,,,,,,,
1938,lkc,Opponents Totals,,,,,,,,,,626,,,,,,,,,,,,
1938,har,Team Totals,,,,,,,,,,,,,,,,,,,,,,
1938,har,Opponents Totals,,,,,,,,,,427,,,,,,,,,,,,
1938,llarm,Team Totals,,,,,,,,,,,,,,,,,,,,,,
1938,llarm,Opponents Totals,,,,,,,,,,423,,,,,,,,,,,,
1938,min,Team Totals,,,,,,,,,,,,,,,,,,,,,,
1938,min,Opponents Totals,,,,,,,,,,373,,,,,,,,,,,,
1938,larm,Team Totals,,,,,,,,,,,,,,,,,,,,,,
1938,larm,Opponents Totals,,,,,,,,,,512,,,,,,,,,,,,
1938,bal,Team Totals,,,,,,,,,,,,,,,,,,,,,,
1938,bal,Opponents Totals,,,,,,,,,,300,,,,,,,,,,,,
1938,lten,Team Totals,,,,,,,,,,,,,,,,,,,,,,
1938,lten,Opponents Totals,,,,,,,,,,280,,,,,,,,,,,,
1938,dul,Team Totals,,,,,,,,,,,,,,,,,,,,,,
1938,dul,Opponents Totals,,,,,,,,,,293,,,,,,,,,,,,
1938,atl,Team Totals,,,,,,,,,,,,,,,,,,,,,,
1938,atl,Opponents Totals,,,,,,,,,,317,,,,,,,,,,,,
1938,ham,Team Totals,,,,,,,,,,,,,,,,,,,,,,
1938,ham,Opponents Totals,,,,,,,,,,178,,,,,,,,,,,,
1939,lkc,Team Totals,,2785,40.4,69,69,,1,,,,,,,,,,,,,,,
1939,lkc,Opponents Totals,,,,,,,,,,534,,,,,,,,,,,,
1939,har,Team Totals,,,37.8,69,66,,,,,,,,,,,,,,,,,
1939,har,Opponents Totals,,,,,,,,,,559,,,,,,,,,,,,
1939,llarm,Team Totals,,,,65,,,,,,,,,,,,,,,,,,
1939,llarm,Opponents Totals,,,,,,,,,,370,,,,,,,,,,,,
1939,min,Team Totals,,3509,39.9,64,88,,1,,,,,,,,,,,,,,,
1939,min,Opponents Totals,,2890,39.6,80,73,,2,,,384,,,,,,,,,,,,
1939,larm,Team Totals,,,36.3,52,76,,,,,,,,,,,,,,,,,
1939,larm,Opponents Totals,,,,,,,,,,421,,,,,,,,,,,,
1939,bal,Team Totals,,,39.8,74,72,,,,,,,,,,,,,,,,,
1939,bal,Opponents Totals,,,,,,,,,,563,,,,,,,,,,,,
1939,lten,Team Totals,,,41.0,67,57,,,,,,,,,,,,,,,,,
1939,lten,Opponents Totals,,,,,,,,,,427,,,,,,,,,,,,
1939,dul,Team Totals,,,40.6,65,75,,,,,,,,,,,,,,,,,
1939,dul,Opponents Totals,,,,,,,,,,379,,,,,,,,,,,,
1939,atl,Team Totals,,,40.4,80,79,,,,,,,,,,,,,,,,,
1939,atl,Opponents Totals,,,,,,,,,,247,,,,,,,,,,,,
1939,ham,Team Totals,,,39.6,70,89,,,,,,,,,,,,,,,,,
1939,ham,Opponents Totals,,,,,,,,,,347,,,,,,,,,,,,
1940,lkc,Team Totals,,,45.0,85,66,,,,,,,,,,,,,,,,,
1940,lkc,Opponents Totals,,,,,,,,,,591,,,,,,,,,,,,
1940,har,Team Totals,,,,66,,,,,,,,,,,,,,,,,,
1940,har,Opponents Totals,,,,,,,,,,408,,,,,,,,,,,,
1940,llarm,Team Totals,,2798,40.0,68,70,,0,,,,,,,,,,,,,,,
1940,llarm,Opponents Totals,,,,,,,,,,448,,,,,,,,,,,,
1940,min,Team Totals,,,38.5,68,80,,,,,,,,,,,,,,,,,
1940,min,Opponents Totals,,,,,,,,,,441,,,,,,,,,,,,
1940,larm,Team Totals,,3173,36.5,66,87,,0,,,,,,,,,,,,,,,
1940,larm,Opponents Totals,,2781,37.6,85,74,,2,,,393,,,,,,,,,,,,
1940,bal,Team Totals,,,39.9,79,57,,,,,,,,,,,,,,,,,
1940,bal,Opponents Totals,,,,,,,,,,500,,,,,,,,,,,,
1940,lten,Team Totals,,2131,37.4,59,57,,,,,231,,,,,,,,,,,,
1940,lten,Opponents Totals,,3004,39.5,75,76,,,,,494,,,,,,,,,,,,
1940,dul,Team Totals,,,40.4,61,73,,,,,,,,,,,,,,,,,
1940,dul,Opponents Totals,,,,,,,,,,300,,,,,,,,,,,,
1940,atl,Team Totals,,,41.9,75,77,,,,,,,,,,,,,,,,,
1940,atl,Opponents Totals,,,,,,,,,,349,,,,,,,,,,,,
1940,ham,Team Totals,,,36.6,68,70,,,,,,,,,,,,,,,,,
1940,ham,Opponents Totals,,,,,,,,,,346,,,,,,,,,,,,
1941,lkc,Team Totals,,2660,41.6,71,64,,1,,,469,,,,,,,,,,,,
1941,lkc,Opponents Totals,,,,,75,,,,,717,,,,,,,,,,,,
1941,har,Team Totals,,2501,41.7,70,60,,0,,,463,,,,,,,,,,,,
1941,har,Opponents Totals,,,,,72,,,,,343,,,,,,,,,,,,
1941,llarm,Team Totals,,2526,45.9,75,55,,1,,,351,,,,,,,,,,,,
1941,llarm,Opponents Totals,,,,,65,,,,,675,,,,,,,,,,,,
1941,min,Team Totals,,2829,41.0,68,69,,0,2,,519,,,,,,,,,,,,
1941,min,Opponents Totals,,2445,37.0,70,66,,2,1,,210,,,,,,,,,,,,
1941,larm,Team Totals,,3254,37.4,65,87,,1,,,516,,,,,,,,,,,,
1941,larm,Opponents Totals,,,,,65,,,,,372,,,,,,,,,,,,
1941,bal,Team Totals,,1240,38.8,70,32,,2,,,340,,,,,,,,,,,,
1941,bal,Opponents Totals,,,,,56,,,,,546,,,,,,,,,,,,
1941,lten,Team Totals,,2232,42.1,65,53,,0,,,432,,,,,,,,,,,,
1941,lten,Opponents Totals,,2367,40.0,,58,,1,,,487,,,,,,,,,,,,
